tag_id,type,stap_s,stap_t,lat_s,lon_s,lat_t,lon_t,j,start,end,n,distance,bearing,gs_u,gs_v,ws_u,ws_v
18LX,simulation,14,15,10.625,-1.625,6.875,-1.375,1,2017-09-15T20:52:30Z,2017-09-16T04:32:30Z,1,418.35295812958543,176.21048387567487,3.606456608078534,-54.44846897329167,-1.5929415983117146,-0.9447652662526008
18LX,simulation,14,15,9.125,-1.125,8.625,-3.125,2,2017-09-15T20:52:30Z,2017-09-16T04:32:30Z,1,226.90493957005862,255.95623164347307,-28.711682064050922,-7.181927146392154,-1.7097475383592682,-0.8610344153694489
18LX,simulation,14,15,10.125,-0.875,10.375,-2.125,3,2017-09-15T20:52:30Z,2017-09-16T04:32:30Z,1,139.72793978437193,281.599285494244,-17.853180241659658,3.664499578835413,0.11936696359385582,1.6578234523275626
18LX,simulation,14,15,10.625,-1.375,9.125,-2.625,4,2017-09-15T20:52:30Z,2017-09-16T04:32:30Z,1,216.0414930714354,219.4946636261734,-17.922229769164844,-21.745529376943704,-1.6857276037464972,-0.2934627441737961
18LX,simulation,14,15,9.375,-0.375,8.125,-3.625,5,2017-09-15T20:52:30Z,2017-09-16T04:32:30Z,1,383.69012663236094,248.9896335578377,-46.71922279827628,-17.943528431549367,-1.9044598557845398,-0.3547758810623833
18LX,simulation,14,15,9.125,-0.375,8.875,-2.875,6,2017-09-15T20:52:30Z,2017-09-16T04:32:30Z,1,276.27689029409294,264.41519226217645,-35.86506131592996,-3.506999030778072,-1.9201989013008447,-0.9009995563341229
18LX,simulation,14,15,9.875,-0.875,6.625,-2.625,7,2017-09-15T20:52:30Z,2017-09-16T04:32:30Z,1,409.9382061893471,208.18332522693322,-25.25366888963087,-47.13082411741314,-2.8447917490420136,-1.5086203740990685
18LX,simulation,14,15,9.875,-1.125,9.875,-2.625,8,2017-09-15T20:52:30Z,2017-09-16T04:32:30Z,1,164.50517548689115,270.1286315675475,-21.457142728118868,0.04817231853361108,-0.6708426788993503,0.8415048169675081
18LX,simulation,14,15,10.375,-0.875,9.625,-4.125,9,2017-09-15T20:52:30Z,2017-09-16T04:32:30Z,1,365.9391666963183,257.09763715060797,-46.52607779037254,-10.657913688875484,0.014638118909752444,0.2944720384348992
18LX,simulation,14,15,9.875,-0.625,6.625,-2.875,10,2017-09-15T20:52:30Z,2017-09-16T04:32:30Z,1,438.53855145329885,214.58525998010975,-32.46893472243862,-47.092315104251846,-2.573181726538616,-1.4366195461439046
