tag_id,type,stap_id,lat,lon,j
CB619,simulation,3,26.75,-80.75,9
CB619,simulation,3,26.75,-80.75,10
CB619,simulation,4,21.75,-84.25,1
CB619,simulation,4,22.75,-81.25,2
CB619,simulation,4,22.75,-81.25,3
CB619,simulation,4,22.25,-83.25,4
CB619,simulation,4,21.25,-83.25,5
CB619,simulation,4,21.75,-82.75,6
CB619,simulation,4,22.75,-83.75,7
CB619,simulation,4,22.25,-81.75,8
CB619,simulation,4,21.75,-84.25,9
CB619,simulation,4,22.75,-81.25,10
CB619,simulation,5,22.75,-83.25,1
CB619,simulation,5,22.75,-82.75,2
CB619,simulation,5,22.75,-82.75,3
CB619,simulation,5,22.75,-82.75,4
CB619,simulation,5,22.75,-82.75,5
CB619,simulation,5,22.75,-83.25,6
CB619,simulation,5,22.75,-82.75,7
CB619,simulation,5,22.75,-83.25,8
CB619,simulation,5,22.25,-83.25,9
CB619,simulation,5,22.75,-82.25,10
CB619,simulation,6,29.25,-82.75,1
CB619,simulation,6,29.25,-81.25,2
CB619,simulation,6,28.25,-81.75,3
CB619,simulation,6,29.25,-82.25,4
CB619,simulation,6,29.25,-81.75,5
CB619,simulation,6,29.25,-82.25,6
CB619,simulation,6,29.25,-81.75,7
CB619,simulation,6,28.75,-81.75,8
CB619,simulation,6,28.75,-81.75,9
CB619,simulation,6,29.25,-82.75,10
CB619,simulation,7,30.75,-82.25,1
CB619,simulation,7,30.25,-82.25,2
CB619,simulation,7,30.75,-82.25,3
CB619,simulation,7,30.75,-82.25,4
CB619,simulation,7,30.75,-82.25,5
CB619,simulation,7,30.75,-82.25,6
CB619,simulation,7,30.75,-82.75,7
CB619,simulation,7,30.75,-82.25,8
CB619,simulation,7,30.75,-82.25,9
CB619,simulation,7,30.75,-82.25,10
CB619,simulation,8,36.25,-82.25,1
CB619,simulation,8,36.25,-82.25,2
CB619,simulation,8,36.25,-82.25,3
CB619,simulation,8,35.75,-82.75,4
CB619,simulation,8,36.25,-82.25,5
CB619,simulation,8,36.25,-82.25,6
CB619,simulation,8,36.25,-82.25,7
CB619,simulation,8,35.75,-82.75,8
CB619,simulation,8,36.25,-82.25,9
CB619,simulation,8,36.25,-82.25,10
CB619,simulation,9,37.25,-81.75,1
CB619,simulation,9,37.25,-81.75,2
CB619,simulation,9,37.25,-81.75,3
CB619,simulation,9,37.25,-81.75,4
CB619,simulation,9,37.25,-81.75,5
CB619,simulation,9,37.25,-81.75,6
CB619,simulation,9,37.25,-81.75,7
CB619,simulation,9,37.25,-81.75,8
CB619,simulation,9,37.25,-81.75,9
CB619,simulation,9,37.25,-81.75,10
18LX,most_likely,1,48.9,17.05,1
18LX,most_likely,2,47.625,16.375,1
18LX,most_likely,3,44.875,14.375,1
18LX,most_likely,4,41.625,15.125,1
18LX,most_likely,5,41.375,13.125,1
18LX,most_likely,6,37.125,9.625,1
18LX,most_likely,7,34.125,8.125,1
18LX,most_likely,8,27.625,3.625,1
18LX,most_likely,9,20.625,3.125,1
18LX,most_likely,10,17.625,0.875,1
18LX,most_likely,11,13.625,-0.625,1
18LX,most_likely,12,12.375,-1.375,1
18LX,most_likely,13,10.375,-1.375,1
18LX,most_likely,14,10.375,-1.625,1
18LX,most_likely,15,9.125,-3.125,1
18LX,most_likely,16,9.375,-1.875,1
18LX,most_likely,17,10.375,-1.625,1
18LX,most_likely,18,10.875,-1.375,1
18LX,most_likely,19,9.625,-5.625,1
18LX,most_likely,20,7.875,-6.625,1
18LX,most_likely,21,8.875,-5.375,1
18LX,most_likely,22,13.375,-4.875,1
18LX,most_likely,23,16.125,-4.625,1
18LX,most_likely,24,19.125,1.875,1
18LX,most_likely,25,39.125,16.875,1
18LX,most_likely,26,40.375,17.625,1
18LX,most_likely,27,41.125,16.625,1
18LX,most_likely,28,43.625,17.875,1
18LX,most_likely,29,46.875,16.875,1
CB619,most_likely,1,37.286812,-82.304972,1
CB619,most_likely,2,32.25,-81.75,1
CB619,most_likely,3,26.75,-80.75,1
CB619,most_likely,4,22.25,-81.75,1
CB619,most_likely,5,22.75,-83.25,1
CB619,most_likely,6,28.75,-81.75,1
CB619,most_likely,7,30.75,-82.25,1
CB619,most_likely,8,36.25,-82.25,1
CB619,most_likely,9,37.25,-81.75,1
